OTTERNO,DATE,YEAR,SITE,LAT,LONG,AGECLASS,AGE,SEX,WEIGHT,LENGTH,TG,SN,NC,TGPOS,SNPOS,NCPOS,NLCDV0,NLCDV11,NLCDV12,NLCDV21,NLCDV22,NLCDV23,NLCDV24,NLCDV31,NLCDV41,NLCDV42,NLCDV43,NLCDV51,NLCDV52,NLCDV90,NLCDV95,PD,HD,RD,NLCDV71,NLCDV81,NLCDV82,NLCDVSUM,imp5,imp50,imp,NLCDV72,LCIV0,LCIV1,LCIV5,LCIV6,LCIV8,LCIV10,LCIV12,LCIV13,LCIV14,LCIV15,LCIV16,LCIV17,LCIV18,LCIV19,CapID,REGION,ATOS_min,ATOS,ATOS_max,ATOS_dist,Long_move,Found,Diet.Name,Grp_6,N_bouts,N_dives,success_rt,urchin,abalone,mussel,clam,snail,crab_other,kelp_crab,cancer_crab,sand_crab,star,worm,chiton,sand_dollar,octopus,squid,misc_rocky,lobster,fishegg
1064,40049,2009,MONT,NA,NA,SA,1.11156742,F,13.8,100,40,40,40,0,0,0,0,0.004976977,NA,0.069659351,0.020365782,0.014310513,0.00280895,0.013560003,7.48E-05,0.128644191,0.106161201,NA,0.27426788,0.006486611,0.00453138,84.36327682,35.34976671,2.460482492,0.267122553,0.011312805,0.075716979,NA,0.063372397,0.016517502,2.202722709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064x40049,MBA,391,391,391,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,39925,2009,MONT,NA,NA,A,7.219712526,M,26.76,127.1,1280,80,NA,1,0,0,0,0.005064171,NA,0.065323927,0.017891403,0.013042684,0.002625781,0.014162267,7.59E-05,0.117689059,0.108053247,NA,0.278906369,0.006664108,0.004676203,72.70327647,28.47117109,2.314240033,0.274839902,0.011814296,0.079170663,NA,0.056950081,0.015128342,1.99371458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065x39925,MBA,381,385.5,390,9,0,1,Mussel,1,7,189,0.936,1.26E-02,0,0.961375298,0.015864643,4.88E-05,0.009920455,0,0.000136354,0,3.68E-06,0,0.00E+00,6.89E-05,2.13E-05,0,0.00E+00,0,0
1107,39911,2009,MONT,NA,NA,A,7.181382615,M,29.3,124.1,40,320,NA,0,1,0,0,0.00497444,NA,0.066258891,0.018362984,0.012885711,0.00253719,0.013587555,7.59E-05,0.129050579,0.107329073,NA,0.277475931,0.006529395,0.004547167,74.17372955,30.04107647,2.342697847,0.268816382,0.011384642,0.076184207,NA,0.057813526,0.014880734,1.997804671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107x39911,MBA,392,392,392,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,40337,2010,MONT,NA,NA,AA,11.34839151,M,29,127,40,40,40,0,0,0,0,0.004983631,NA,0.0789514,0.025847316,0.018234332,0.003561521,0.013482069,7.21E-05,0.127622128,0.102961304,NA,0.265512403,0.006370396,0.004487111,112.3134843,49.88543073,2.782813092,0.262400968,0.011109815,0.074403461,NA,0.07861435,0.021029718,2.765899301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108x40337,MBA,386,388,390,4,0,1,Crab,3,8,83,0.822580645,3.07E-05,0,0.000353893,0.002007163,9.13E-04,0,0.010982428,0.481103632,0,0.00E+00,0.234184622,1.39E-05,5.98E-05,0.00E+00,0.270316484,3.41E-05,0,0
1109,40577,2011,MONT,NA,NA,A,11.00616016,F,20.2,117.8,40,1280,5120,0,1,1,0,0.005067164,NA,0.065075862,0.017748991,0.012961467,0.00261284,0.014183795,7.60E-05,0.117323042,0.108152849,NA,0.279160526,0.006671601,0.004681641,72.01805902,28.0827649,2.305836111,0.275149461,0.011833266,0.079301491,NA,0.056573822,0.015037954,1.980966333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109x40577,MBA,379,385.3333333,390,11,0,1,Clam,4,36,619,0.865758755,0,0,0,0.220835001,0.002418936,0.079213136,0.020469472,0.329021507,0,0,0.097391671,0.010815345,0.093761083,0,0.134478194,0.011595654,0,0
1110,40478,2010,MONT,NA,NA,A,7.734428474,F,18.6,113.7,40,80,40,0,0,0,0,0.005165226,NA,0.0630958,0.01684839,0.013505682,0.002881374,0.014722464,7.75E-05,0.105996096,0.109675284,NA,0.281599353,0.006841281,0.004812127,69.86435167,25.28632206,2.250178042,0.280553698,0.01219671,0.082028997,NA,0.055364881,0.015849703,1.999156524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110x40478,MBA,378,378,378,0,0,1,Mussel,1,23,565,0.743982495,2.16E-01,0,0.467637895,0.051652742,0,0.031578056,0.027765793,0.175072266,0,0.010323386,5.86E-03,9.18E-04,0.00E+00,0.013426939,0,0.00E+00,0,0
1111,40794,2011,MONT,NA,NA,A,5.59890486,F,23.4,118,40,40,40,0,0,0,0,0.005154704,NA,0.06265444,0.016482154,0.012799067,0.0026883,0.014673905,7.59E-05,0.107035271,0.109536534,NA,0.282303074,0.006827626,0.004802364,67.05089621,24.41564793,2.228963543,0.280865151,0.012195807,0.081905658,NA,0.053843659,0.014971894,1.920239984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111x40794,MBA,380,380,380,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,40920,2012,MONT,NA,NA,A,4.944558522,F,18.2,113.9,80,40,40,0,0,0,0,0.004581829,NA,0.055680196,0.012087206,0.006794,0.00118563,0.012031032,9.76E-05,0.223752066,0.102122301,NA,0.288546746,0.006313006,0.003782569,43.95020811,18.70017396,2.016042851,0.218305994,0.008429529,0.056290255,NA,0.037943915,0.007668071,1.203430519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113x40920,MBA,413,413,413,0,0,1,Crab,3,19,752,0.862190813,0.279094338,0,0.017691355,0.073651572,0,0.102249427,0.114719369,0.27231946,0,0,1.44E-05,0.134937584,0.00E+00,0.005322459,0,0.00E+00,0,0
1114,40788,2011,MONT,NA,NA,A,8.583162218,M,31.3,131.4,10240,5120,40,1,1,0,0,0.005129888,NA,0.062635898,0.016436941,0.012590943,0.002621302,0.014572369,7.77E-05,0.109972149,0.10931987,NA,0.281906243,0.006792827,0.004774933,66.50231509,24.39306002,2.227860946,0.279643093,0.012126869,0.081399,NA,0.053508426,0.014702017,1.898817821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114x40788,MBA,381,381,381,0,0,1,Clam,4,22,527,0.688053097,0.061916249,0,0.003175448,0.46755874,0,0.016901025,0.029927893,0.148150224,0,0,0.272370421,0,0,0,0,0,0,0
1115,40787,2011,MONT,NA,NA,A,9.579739904,F,21.5,121.7,160,40,80,0,0,0,0,0.005072901,NA,0.064645812,0.017503171,0.012826218,0.002592134,0.014224302,7.62E-05,0.116623457,0.108328148,NA,0.27960501,0.006685371,0.004691765,70.84551965,27.41049519,2.29132307,0.275714007,0.011868218,0.079543334,NA,0.055929369,0.014888391,1.959417689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115x40787,MBA,384,385,386,2,0,1,Crab,3,30,1150,0.636072572,0.241660578,0.123619321,0.007147819,1.22E-02,0.015664311,0.043897709,0.125523225,0.361988527,0,0,9.75E-04,0.054161052,2.22E-06,0.013028526,0.00E+00,7.19E-05,0,0.000108571
